Slipstick,Min/Max Temperature(Celsius),D_byte(0),D_byte(1),D_byte(2),D_byte(3),M_byte(0),M_byte(1),M_byte(2),M_byte(3),P_Bit_0,strokes,Meaning,Operating hours
0,-50,0,0,0,0,0,0,0,0,0,0,fail safe,10
1,-43,1.1,1.2,1.1,1.2,1.1,1.1,1.1,1.2,0.1,0.1,fail safe,20
2,-33,2.1,1.23,2.1,1.23,2.1,2.1,2.1,1.23,0.5,0.3,fail safe,30
3,-12,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,1,0.2,request on-site,50
4,-3,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1.2,0.7,request on-site,60
56,-1,6,6.1,6,6.1,6.3,6,6.3,6.1,1.5,1,request on-site,75
67,0.5,6.9,6.88,6.9,6.88,6,6.9,6,6.88,2,1.28,operated on site,80
47,12,2,2.1,2,2.1,6.9,2,6.9,2.1,2.1,1.7,operated on site,82
35,34,4.2,4.2,4.2,4.2,2,4.2,2,4.2,2.2,1.6,operated on site,90
45,45,2.7,2.7,2.7,2.7,4.2,2.7,4.2,2.7,2.5,2.1,operated on site,95
33,67,3.4,3.45,3.4,3.45,2.7,3.4,2.7,3.45,3,2.36,emergency operation active,100
46,55,4.7,4.12,4.7,4.12,3.4,4.7,3.4,4.12,3.3,2.9,emergency operation active,105
78,98,5.6,5.63,5.6,5.63,4,5.6,4,5.63,3.5,1.35,emergency operation active,110
87.5,87,3,3,3,3,5.6,3,5.6,3,4,1.25,deviation of movement direction,115
89.8,10,4,5.21,4,5.21,3,4,3,5.21,4.2,1.12,deviation of movement direction,120
22.8,4,5,5,5,5,4.7,5,4.7,5,4.3,3.85,deviation of movement direction,125
25,76.2,5.98,5.99,5.98,5.99,5,5.98,5,5.99,4.5,0.76,deviation of movement direction,130
12,43,5.01,5.32,5.01,5.32,5.98,5.01,5.98,5.32,4.7,2.35,deviation of movement direction,135
10.1,91,3.12,3.36,3.12,2.36,5.01,3.12,5.01,2.36,4.9,4.01,deviation of movement direction,140
44.3,70,2.45,2.45,2.45,3.45,3.12,2.45,3.12,3.45,5,4.02,valve completely open,160
99.8,72,2.2,2.26,2.2,5.26,2.45,2.2,2.45,5.26,5.1,4.14,valve completely open,165
76,52.3,4.8,4.8,4.8,4.8,2.36,4.8,2.36,4.8,5.2,3.14,valve completely open,175
62,66,5.1,5.75,5.1,5.75,2.2,5.1,2.2,5.75,5.8,3.17,valve completely open,188
20.7,88,5.23,6.7,5.23,6.7,4.5,5.23,4.5,6.7,6,2.18,valve completely closed,190
50,73,6.98,6.98,6.98,6.35,5.12,6.98,5.12,6.35,6.2,2.02,valve completely closed,200
60.7,79,1.3,1.3,1.3,1.3,5.23,1.3,5.23,1.3,6.4,4.21,valve completely closed,250
71.9,44,1.9,1.98,1.9,1.92,6.98,1.9,6.98,1.92,6.5,4.29,valve completely closed,256
5.8,59,3.38,3.65,3.38,3.65,1.36,3.38,1.36,3.65,6.6,3.05,valve completely closed,270
98.2,2,3.04,2.04,3.04,2.04,3.38,3.04,3.38,2.04,6.9,2.08,valve completely closed,290
74.92,23,4.02,1.8,4.02,1.85,4.05,4.02,4.05,1.85,7,1.56,run time overshoot,300
120,-70,5.78,6.7,5.6,5.6,6.7,6.7,6.7,6.7,7.3,6.7,not valid,350
11,111,6.23,6.9,7.8,7.8,6.9,6.9,6.9,6.9,7.9,6.9,not valid,250
141,105,4.9,8.9,9.3,9.3,8.9,8.9,8.9,8.9,8.9,8.9,not valid,150
131,-97,5.6,10.9,9.5,9.5,10.9,10.9,10.9,10.9,7.5,10.9,not valid,125
111,116,9.8,19.7,11.2,11.2,19.7,19.7,19.7,19.7,9.7,19.7,not valid,50
